cores,time_total,time_initial_setup,time_projection,time_enumeration,time_postprocessing,ECM_count,max_rss,swap
3,508.2120434443156,23.44539984067281,413.6009941101074,65.94479481379192,5.219626506169637,77546,510664,0
5,295.39773591359454,10.105952024459839,257.99770617485046,22.037324746449787,5.255495071411133,77546,509357.3333333333,0
10,288.41344928741455,6.325337807337443,267.0808691183726,9.733138879140219,5.2728220621744795,77546,525761.3333333334,0
20,319.0639736652374,34.59678816795349,273.05723849932355,6.091834386189778,5.3164942264556885,77546,533616,0
30,296.6043174266815,6.476796785990397,279.9290843804677,4.879977782567342,5.317181030909221,77546,513540,0
40,303.53960665067035,6.519401868184407,287.7332770029704,3.944832722345988,5.340467135111491,77546,526174.6666666666,0
50,310.55376235644025,5.307263135910034,296.10746773084,3.7926546732584634,5.345113277435303,77546,523545.3333333333,0
60,317.61491322517395,5.611230452855428,303.8053294817607,2.8147443930308023,5.382334073384603,77546,509289.3333333333,0
