cores,time_total,time_initial_setup,time_projection,time_enumeration,time_postprocessing,ECM_count,max_rss,swap
3,3114.3049323558807,30.27362330754598,560.881673415502,2491.5850488344827,31.56342403093974,2481162,1443166.6666666667,0
5,1236.6825064818065,13.06872042020162,372.85661816596985,830.8270618915558,19.928866783777874,2481162,1327925.3333333333,0
10,653.6081859270731,7.554001331329346,313.53655823071796,312.9744137128194,19.541950305302937,2481162,1056674.6666666667,0
20,508.2608431975047,7.34569787979126,348.03899987538654,142.58303348223367,10.291892369588217,2481162,889505.3333333334,0
30,425.73142131169635,7.397355477015178,317.15315413475037,91.64859493573506,9.531094630559286,2481162,710694.6666666666,0
40,412.03778862953186,7.441883405049642,325.12675674756366,69.69136420885722,9.776535828908285,2481162,732956,0
50,436.720431804657,7.543672164281209,364.4336051940918,55.047088305155434,9.694819768269857,2481162,701082.6666666666,0
60,403.6981709798177,6.310514529546102,342.81437317530316,44.77697277069092,9.795079867045084,2481162,731553.3333333334,0
