cores,time_total,time_initial_setup,time_projection,time_enumeration,time_postprocessing,ECM_count,max_rss,swap
10,9752.78939819336,8.798429807027182,344.1687955061595,9076.281833092371,323.5391306877136,71024650,32737778.666666668,0
20,4807.297466913859,8.373818238576254,347.25287262598675,4243.854496320088,207.81503955523172,71024650,22757502.666666668,0
30,3197.001051425934,8.495077927907309,384.5800147851308,2620.9525684515634,182.97211241722107,71024650,14147726.666666666,0
40,2499.5546775658927,8.488354523976644,364.6814448038737,1947.1825908819835,179.20104734102884,71024650,11083548,0
50,2128.2110550403595,8.581504662831625,384.55233724912006,1558.3776410420735,176.69831029574075,71024650,12653770.666666666,0
60,1869.133778333664,7.122691869735718,382.62732283274335,1299.0135906537373,180.36878808339438,71024650,12262857.333333334,0
