cores,time_total,time_initial_setup,time_projection,time_enumeration,time_postprocessing,ECM_count,max_rss,swap
3,407.0967806180318,23.50783411661784,314.88215160369873,66.20364689826965,2.5019304752349854,77546,508036,0
5,364.36750960350037,10.135885636011759,329.19694836934406,22.534355878829956,2.499078114827474,77546,527433.3333333334,0
10,375.883310397466,6.3243408203125,357.6254068215688,9.404980500539144,2.5273380279541016,77546,506210.6666666667,0
20,474.8408252398173,6.47550900777181,459.38527123133343,6.432879447937012,2.5459161599477134,77546,505672,0
30,627.664184888204,6.459657986958821,613.65021387736,4.995692888895671,2.5573593775431314,77546,505105.3333333333,0
40,733.949818611145,6.512174526850383,720.6464773813883,4.171446800231934,2.618511120478312,77546,521146.6666666667,0
50,920.425988038381,5.330171267191569,909.3460601170858,3.044618765513102,2.7035412788391113,77546,503306.6666666667,0
60,1019.1284161408743,5.551732699076335,1008.1252319812775,2.821001132329305,2.629197676976522,77546,519416,0
