cores,time_total,time_preprocessing,time_first_vertex_enumeration,time_intermediate_processing,time_second_vertex_enumeration,time_postprocessing,max_rss,swap
3,122.51832087834676,3.741230010986328,99.87691744168599,8.509655078252157,9.946046034495035,0.443098783493042,373333.3333333333,0
5,49.246774435043335,3.738006830215454,31.751784563064575,8.480616410573324,4.835391362508138,0.4399474461873372,215457.33333333334,0
10,33.06630857785543,3.707299073537191,17.145677487055462,8.501776774724325,3.282491445541382,0.42809875806172687,373629.3333333333,0
20,24.26747425397237,3.7526861826578775,9.520474513371786,8.476907094319662,2.072979768117269,0.44344290097554523,300001.3333333333,0
30,23.42771116892497,3.7447314262390137,9.02499270439148,8.481876532236734,1.7299213409423828,0.44520966211954754,381574.6666666667,0
40,22.057214339574177,3.6745665073394775,7.914340257644653,8.440848191579184,1.5992892583211262,0.42717496554056805,308741.3333333333,0
50,21.746742725372314,3.7649152278900146,7.414730072021484,8.582660357157389,1.536520004272461,0.44695178667704266,370634.6666666667,0
60,20.88444495201111,3.7132022380828857,6.7678022384643555,8.479179620742798,1.510174830754598,0.4131125609079997,379460,0
