cores,time_total,time_preprocessing,time_first_vertex_enumeration,time_intermediate_processing,time_second_vertex_enumeration,time_postprocessing,max_rss,swap
3,8188.396263599396,4.713956832885742,255.4734111626943,13.856422503789267,7673.58926431338,240.7614754041036,360074.6666666667,0
5,2920.3187409241996,4.752654949824016,78.06468216578166,13.967115958531698,2582.0873552163443,241.44549735387167,274129.3333333333,0
10,1291.5820503234863,4.808309316635132,41.09795196851095,13.76849635442098,991.6230730215708,240.2830106417338,332241.3333333333,0
20,736.4392588933309,4.777593771616618,26.097796360651653,13.9660271803538,450.4846262931824,241.11213994026184,406674.6666666667,0
30,564.9660403728485,4.8474061489105225,18.703157822291057,14.001261949539185,285.58737746874493,241.82575194040933,381918.6666666667,0
40,491.7401080131531,4.743433793385823,17.32872708638509,14.038832346598307,214.5139273007711,241.1141184171041,370918.6666666667,0
50,459.693838040034,4.868129253387451,14.676820198694864,13.813079913457235,184.07053558031717,242.26416897773743,338033.3333333333,0
60,430.0934841632843,4.858643054962158,12.403965870539347,13.838621298472086,158.7216912905375,240.26949532826742,401450.6666666667,0
