cores,time_total,time_preprocessing,time_first_vertex_enumeration,time_intermediate_processing,time_second_vertex_enumeration,time_postprocessing,max_rss,swap
10,43161.28411149979,6.02803635597229,61.16297745704651,19.348467111587524,36036.874866724014,7037.868847846985,215908,0
20,23066.678082466125,6.001309633255005,29.31843876838684,19.266778230667114,16026.431199550629,6985.659241437912,210496,0
30,17377.28369283676,5.856178522109985,27.39848756790161,20.457710027694702,10333.580542325974,6989.989696741104,209384,0
40,14909.485082864761,6.006446123123169,23.92680311203003,19.44529676437378,7815.67776465416,7044.427696228027,414364,0
50,13329.193561315536,5.912971019744873,19.200377702713013,19.28866696357727,6231.022514820099,7053.767971277237,203928,0
60,12326.799326658249,5.882605791091919,18.031134128570557,19.998919010162354,5240.34955739975,7042.53603386879,210304,0
