models,3,5,10,20,30,40,50,60
mmsyn_sm00_ecmtool,128.23170948028564,49.774032751719155,34.15027626355489,25.418888727823894,24.83764974276225,22.382240772247314,21.891647179921467,21.091725826263428
mmsyn_sm01_ecmtool,29.93343957265218
mmsyn_sm02_ecmtool,32.04261287053426
mmsyn_sm03_ecmtool,41.81925654411316
mmsyn_sm04_ecmtool,46.21697417894999
mmsyn_sm06_ecmtool,87.91688632965088
mmsyn_sm07_ecmtool,134.14707867304483
mmsyn_sm08_ecmtool,224.49848612149557
mmsyn_sm09_ecmtool,388.3795844713847
mmsyn_sm11_ecmtool,1467.2439215977986
mmsyn_sm12_ecmtool,2950.472462415695
mmsyn_sm13_13_07,5207.284375111262
mmsyn_sm12_13_07,2926.8153290748596
mmsyn_sm11_13_07,1472.1996150811513
mmsyn_sm05_13_07,463.7144413789113,162.81363328297934,88.8917904694875,57.73803766568502,49.596522172292076,48.077593882878624,45.057001988093056,44.48964277903239
mmsyn_sm00_13_07,122.51832087834676,49.246774435043335,33.06630857785543,24.26747425397237,23.42771116892497,22.057214339574177,21.746742725372314,20.88444495201111
mmsyn_sm01_13_07,26.658223787943523
mmsyn_sm02_13_07,33.29619097709656
mmsyn_sm03_13_07,39.61815428733826
mmsyn_sm04_13_07,41.526072104771934
mmsyn_sm06_13_07,88.27258777618408
mmsyn_sm07_13_07,133.63645537694296
mmsyn_sm08_13_07,227.42677100499472
mmsyn_sm09_13_07,386.0003863970439
mmsyn_sm14_13_07,14739.866364876429
mmsyn_sm16_13_07,73923.51094031334
mmsyn_sm17_13_07,146722.41055965424
mmsyn_sm15_sm,43161.28411149979,23066.678082466125,17377.28369283676,14909.485082864761,13329.193561315536,12326.799326658249
mmsyn_sm18,141957.35390901566
mmsyn_sm19,851414.1612331867
