cores,time_total,time_initial_setup,time_projection,time_enumeration,time_postprocessing,ECM_count,max_rss,swap
3,381.48788626988727,17.788557688395183,354.8359881242116,3.760737737019857,5.101407448450725,4132,268200,0
5,279.9412536621094,8.448165655136108,264.98874076207477,1.3916675249735515,5.1114256381988525,4132,227242.66666666666,0
10,246.09748737017313,5.56363304456075,234.4136548837026,0.9849514166514078,5.134000301361084,4132,271581.3333333333,0
20,253.54527926445007,5.595577160517375,241.8654542764028,0.9167307217915853,5.1662546793619795,4132,196449.33333333334,0
30,262.1627097129822,5.692996104558309,250.4114248752594,0.8735132217407227,5.183525005976359,4132,257429.33333333334,0
40,268.8939214547475,5.73290228843689,257.0647994677226,0.883565346399943,5.2110832532246905,4132,243176,0
50,285.8167236646016,4.631251335144043,275.07086658477783,0.8940325578053793,5.218997796376546,4132,267710.6666666667,0
60,284.3065410455068,4.736040671666463,273.4069941043854,0.9254446824391683,5.236841678619385,4132,272713.3333333333,0
