cores,time_total,time_initial_setup,time_projection,time_enumeration,time_postprocessing,ECM_count,max_rss,swap
10,9816.26782377561,8.800744533538818,383.0814392566681,9071.943037668863,352.44135959943134,71024650,660760,0
20,4850.385096391042,8.37689725557963,378.16723283131915,4245.014399449031,218.82528686523438,71024650,671284,0
30,3155.184271732966,8.497496763865152,355.6501061121623,2616.816920121511,174.21850808461508,71024650,670154.6666666666,0
40,2480.3790880044303,8.485936403274536,364.3848036924998,1950.59525624911,156.91185251871744,71024650,665277.3333333334,0
50,2095.9229513804116,8.584302028020224,372.7236045201619,1556.2340046564739,158.3797725836436,71024650,650642.6666666666,0
60,1849.7847890853882,7.1382896900177,383.03210345904034,1299.8457326889038,159.76741154988608,71024650,652329.3333333334,0
