cores,time_total,time_initial_setup,time_projection,time_enumeration,time_postprocessing,ECM_count,max_rss,swap
3,525.3379937012991,23.373249689737957,430.76083699862164,65.97976660728455,5.2229204177856445,77546,520694.6666666667,0
5,297.02438553174335,10.134587128957113,258.8878891468048,22.745660225550335,5.254970630009969,77546,522425.3333333333,0
10,288.9715597629547,6.328435023625691,267.1443883577983,10.231158971786499,5.266330798467,77546,526261.3333333334,0
20,289.94065348307294,6.493217547734578,272.06832122802734,6.078000068664551,5.2998636563618975,77546,522741.3333333333,0
30,305.9375379085541,6.496910651524861,289.1625693639119,4.963910818099976,5.312528053919475,77546,508312,0
40,302.90922085444134,6.548643747965495,287.1162580649058,3.936863422393799,5.306222438812256,77546,522401.3333333333,0
50,310.25655031204224,5.3118611971537275,295.8383417924245,3.778464396794637,5.326651732126872,77546,511276,0
60,319.0541915098826,5.615724643071492,304.6987175146739,3.378834883371989,5.35966682434082,77546,524598.6666666666,0
